Time (s),Glucose (mM),ATP (mM),G6P (mM),ADP (mM),Hexokinase (firings)
0.792000,4999.208121,2999.208121,100.791879,100.791879,264
0.795000,4999.205122,2999.205122,100.794878,100.794878,265
0.798000,4999.202122,2999.202122,100.797878,100.797878,266
0.801000,4999.199123,2999.199123,100.800877,100.800877,267
0.804000,4999.196123,2999.196123,100.803877,100.803877,268
0.807000,4999.193124,2999.193124,100.806876,100.806876,269
0.810000,4999.190124,2999.190124,100.809876,100.809876,270
0.813000,4999.187125,2999.187125,100.812875,100.812875,271
0.816000,4999.184125,2999.184125,100.815875,100.815875,272
0.819000,4999.181126,2999.181126,100.818874,100.818874,273
0.822000,4999.178126,2999.178126,100.821874,100.821874,274
0.825000,4999.175126,2999.175126,100.824874,100.824874,275
0.828000,4999.172127,2999.172127,100.827873,100.827873,276
0.831000,4999.169127,2999.169127,100.830873,100.830873,277
0.834000,4999.166128,2999.166128,100.833872,100.833872,278
0.837000,4999.163128,2999.163128,100.836872,100.836872,279
0.840000,4999.160129,2999.160129,100.839871,100.839871,280
0.843000,4999.157129,2999.157129,100.842871,100.842871,281
0.846000,4999.154130,2999.154130,100.845870,100.845870,282
0.849000,4999.151130,2999.151130,100.848870,100.848870,283
0.852000,4999.148131,2999.148131,100.851869,100.851869,284
0.855000,4999.145131,2999.145131,100.854869,100.854869,285
0.858000,4999.142132,2999.142132,100.857868,100.857868,286
0.861000,4999.139132,2999.139132,100.860868,100.860868,287
0.864000,4999.136132,2999.136132,100.863868,100.863868,288
0.867000,4999.133133,2999.133133,100.866867,100.866867,289
0.870000,4999.130133,2999.130133,100.869867,100.869867,290
0.873000,4999.127134,2999.127134,100.872866,100.872866,291
0.876000,4999.124134,2999.124134,100.875866,100.875866,292
0.879000,4999.121135,2999.121135,100.878865,100.878865,293
0.882000,4999.118135,2999.118135,100.881865,100.881865,294
0.885000,4999.115136,2999.115136,100.884864,100.884864,295
0.888000,4999.112136,2999.112136,100.887864,100.887864,296
0.891000,4999.109137,2999.109137,100.890863,100.890863,297
0.894000,4999.106137,2999.106137,100.893863,100.893863,298
0.897000,4999.103138,2999.103138,100.896862,100.896862,299
