time,P12,P14,P21,P24,P27,P3,P6,P7,P8,T1,T6
1147.8340830687625,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1148.3340830687625,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1148.3343891912116,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1148.8343891912116,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1148.8346953136606,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1149.3346953136606,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1149.3350014361097,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1149.8350014361097,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1149.8353075585587,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1150.3353075585587,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1150.3356136810078,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1150.8356136810078,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1150.8359198034568,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1151.3359198034568,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1151.3362259259059,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1151.8362259259059,30.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1151.836532048355,40.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1152.336532048355,40.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1152.336838170804,40.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1152.836838170804,40.0,0,8.0,5.0,9.0,14.0,1.0,22.0,6.0,2478,644
1152.837144293253,40.0,0,8.0,5.0,9.0,12.0,1.0,23.0,6.0,2478,644
1153.337144293253,40.0,0,8.0,5.0,9.0,12.0,1.0,23.0,6.0,2478,644
1153.3375609599198,40.0,0,8.0,5.0,9.0,12.0,1.0,23.0,6.0,2478,644
