time,P12,P14,P21,P24,P27,P7,P8
4822.655631756851,130.0,0,20.0,8.0,10.0,130.0,0
4822.6560932953125,130.0,0,20.0,8.0,10.0,130.0,0
4823.1560932953125,130.0,0,20.0,8.0,10.0,130.0,0
4823.156554833774,130.0,0,20.0,8.0,10.0,130.0,0
4823.656554833774,130.0,0,20.0,8.0,10.0,130.0,0
4823.657016372235,130.0,0,20.0,8.0,10.0,130.0,0
4824.157016372235,130.0,0,20.0,8.0,10.0,130.0,0
4824.157477910697,130.0,0,20.0,8.0,10.0,130.0,0
4824.657477910697,130.0,0,20.0,8.0,10.0,130.0,0
4824.657939449158,130.0,0,20.0,8.0,10.0,130.0,0
4825.157939449158,130.0,0,20.0,8.0,10.0,130.0,0
4825.15840098762,130.0,0,20.0,8.0,10.0,130.0,0
4825.65840098762,130.0,0,20.0,8.0,10.0,130.0,0
4825.658862526081,130.0,0,20.0,8.0,10.0,130.0,0
4826.158862526081,130.0,0,20.0,8.0,10.0,130.0,0
4826.1593240645425,130.0,0,20.0,8.0,10.0,130.0,0
4826.6593240645425,130.0,0,20.0,8.0,10.0,130.0,0
4826.659785603004,130.0,0,20.0,8.0,10.0,130.0,0
4827.159785603004,130.0,0,20.0,8.0,10.0,130.0,0
4827.160247141465,130.0,0,20.0,8.0,10.0,130.0,0
4827.660247141465,130.0,0,20.0,8.0,10.0,130.0,0
4827.660708679927,130.0,0,20.0,8.0,10.0,130.0,0
4828.160708679927,130.0,0,20.0,8.0,10.0,130.0,0
4828.161170218388,130.0,0,20.0,8.0,10.0,130.0,0
4828.661170218388,130.0,0,20.0,8.0,10.0,130.0,0
4828.66163175685,130.0,0,20.0,8.0,10.0,130.0,0
4829.16163175685,130.0,0,20.0,8.0,10.0,130.0,0
4829.162093295311,130.0,0,20.0,8.0,10.0,130.0,0
4829.662093295311,130.0,0,20.0,8.0,10.0,130.0,0
4829.662554833772,130.0,0,20.0,8.0,10.0,130.0,0
4830.162554833772,130.0,0,20.0,8.0,10.0,130.0,0
4830.163016372234,130.0,0,20.0,8.0,10.0,130.0,0
4830.663016372234,130.0,0,20.0,8.0,10.0,130.0,0
4830.663477910695,130.0,0,20.0,8.0,10.0,130.0,0
4831.163477910695,130.0,0,20.0,8.0,10.0,130.0,0
4831.163939449157,130.0,0,20.0,8.0,10.0,130.0,0
4831.663939449157,130.0,0,20.0,8.0,10.0,130.0,0
4831.664400987618,130.0,0,20.0,8.0,10.0,130.0,0
4832.164400987618,130.0,0,20.0,8.0,10.0,130.0,0
4832.16486252608,130.0,0,20.0,8.0,10.0,130.0,0
4832.66486252608,130.0,0,20.0,8.0,10.0,130.0,0
4832.665324064541,130.0,0,20.0,8.0,10.0,130.0,0
4833.165324064541,130.0,0,20.0,8.0,10.0,130.0,0
4833.165785603002,130.0,0,20.0,8.0,10.0,130.0,0
4833.665785603002,130.0,0,20.0,8.0,10.0,130.0,0
4833.666247141464,130.0,0,20.0,8.0,10.0,130.0,0
4834.166247141464,130.0,0,20.0,8.0,10.0,130.0,0
4834.166708679925,130.0,0,20.0,8.0,10.0,130.0,0
4834.666708679925,130.0,0,20.0,8.0,10.0,130.0,0
4834.667170218387,130.0,0,20.0,8.0,10.0,130.0,0
4835.167170218387,130.0,0,20.0,8.0,10.0,130.0,0
4835.167631756848,130.0,0,20.0,8.0,10.0,130.0,0
4835.667631756848,130.0,0,20.0,8.0,10.0,130.0,0
4835.6680932953095,130.0,0,20.0,8.0,10.0,130.0,0
4836.1680932953095,130.0,0,20.0,8.0,10.0,130.0,0
4836.168554833771,130.0,0,20.0,8.0,10.0,130.0,0
4836.668554833771,130.0,0,20.0,8.0,10.0,130.0,0
4836.669016372232,130.0,0,20.0,8.0,10.0,130.0,0
4837.169016372232,130.0,0,20.0,8.0,10.0,130.0,0
4837.169477910694,130.0,0,20.0,8.0,10.0,130.0,0
4837.669477910694,130.0,0,20.0,8.0,10.0,130.0,0
4837.669939449155,130.0,0,20.0,8.0,10.0,130.0,0
4838.169939449155,130.0,0,20.0,8.0,10.0,130.0,0
4838.170400987617,130.0,0,20.0,8.0,10.0,130.0,0
4838.670400987617,130.0,0,20.0,8.0,10.0,130.0,0
4838.670862526078,130.0,0,20.0,8.0,10.0,130.0,0
4839.170862526078,130.0,0,20.0,8.0,10.0,130.0,0
4839.1713240645395,130.0,0,20.0,8.0,10.0,130.0,0
4839.6713240645395,130.0,0,20.0,8.0,10.0,130.0,0
4839.671785603001,130.0,0,20.0,8.0,10.0,130.0,0
4840.171785603001,130.0,0,20.0,8.0,10.0,130.0,0
4840.172247141462,130.0,0,20.0,8.0,10.0,130.0,0
4840.672247141462,130.0,0,20.0,8.0,10.0,130.0,0
4840.672708679924,130.0,0,20.0,8.0,10.0,130.0,0
4841.172708679924,130.0,0,20.0,8.0,10.0,130.0,0
4841.173170218385,130.0,0,20.0,8.0,10.0,130.0,0
4841.673170218385,130.0,0,20.0,8.0,10.0,130.0,0
4841.673631756847,130.0,0,20.0,8.0,10.0,130.0,0
4842.173631756847,130.0,0,20.0,8.0,10.0,130.0,0
4842.174093295308,130.0,0,20.0,8.0,10.0,130.0,0
4842.674093295308,130.0,0,20.0,8.0,10.0,130.0,0
4842.674554833769,130.0,0,20.0,8.0,10.0,130.0,0
4843.174554833769,130.0,0,20.0,8.0,10.0,130.0,0
4843.175016372231,130.0,0,20.0,8.0,10.0,130.0,0
4843.675016372231,130.0,0,20.0,8.0,10.0,130.0,0
4843.675477910692,130.0,0,20.0,8.0,10.0,130.0,0
4844.175477910692,130.0,0,20.0,8.0,10.0,130.0,0
4844.175939449154,130.0,0,20.0,8.0,10.0,130.0,0
4844.675939449154,130.0,0,20.0,8.0,10.0,130.0,0
